Start Date/time (UTC);End Date/time (UTC);Location in meters (m);SCG warning level (1 to 3 or Noise)
2019-01-28 15:41:46.000000000;2019-01-31 23:56:00.000000000;1.0;N
2019-01-22 13:14:49.000000000;2019-01-31 23:56:00.000000000;302.0;N
2019-01-22 13:14:44.000000000;2019-01-31 23:56:00.000000000;345.0;N
2019-01-28 15:41:46.000000000;2019-02-25 12:49:46.000000000;1.0;N
2019-01-22 13:14:49.000000000;2019-02-25 12:49:50.000000000;302.0;N
2019-02-27 17:33:15.000000000;2019-02-28 23:59:00.000000000;331.0;N
2019-01-22 13:14:44.000000000;2019-02-08 15:51:39.000000000;345.0;N
2019-02-25 12:49:46.000000000;2019-03-29 12:53:02.000000000;1.0;N
2019-02-25 12:49:50.000000000;2019-03-19 14:49:11.000000000;302.0;N
2019-02-27 17:33:15.000000000;2019-03-31 23:59:00.000000000;331.0;N
2019-02-08 15:51:39.000000000;2019-03-19 14:49:03.000000000;345.0;N
2019-03-29 12:53:02.000000000;2019-04-11 15:05:53.000000000;1.0;N
2019-01-22 13:14:49.000000000;2019-04-30 21:46:33.000000000;302.0;N
2019-02-27 17:33:15.000000000;2019-04-29 16:07:19.000000000;331.0;N
2019-01-22 13:14:44.000000000;2019-04-18 20:46:07.000000000;345.0;N
2019-04-11 15:05:53.000000000;2019-05-01 14:58:41.000000000;1.0;N
2019-02-27 17:33:15.000000000;2019-05-31 19:46:07.000000000;331.0;N
2019-05-01 14:58:41.000000000;2019-06-06 08:27:23.000000000;1.0;N
2019-06-06 08:28:19.000000000;2019-06-30 23:59:00.000000000;97.0;N
2019-06-06 08:27:23.000000000;2019-07-31 23:59:00.000000000;1.0;N
2019-06-06 08:28:19.000000000;2019-07-24 13:04:39.000000000;97.0;N
2019-06-06 08:27:23.000000000;2019-08-14 14:07:08.000000000;1.0;N
2019-07-24 13:04:39.000000000;2019-08-29 14:56:19.000000000;97.0;N
2019-08-14 14:07:08.000000000;2019-09-23 07:08:20.000000000;1.0;N
2019-08-29 14:56:19.000000000;2019-09-23 07:08:17.000000000;97.0;N
2019-09-23 07:07:59.000000000;2019-09-30 23:59:00.000000000;446.0;3
2019-09-23 07:08:20.000000000;2019-11-01 13:56:02.000000000;1.0;N
2019-09-23 07:08:17.000000000;2019-11-01 13:55:58.000000000;97.0;N
2019-09-23 07:07:59.000000000;2019-10-31 23:59:00.000000000;446.0;3
2019-09-23 07:08:20.000000000;2019-11-01 13:56:02.000000000;1.0;N
2019-09-23 07:08:17.000000000;2019-11-01 13:55:58.000000000;97.0;N
2019-11-01 13:56:13.000000000;2019-11-30 23:59:00.000000000;301.0;N
2019-09-23 07:07:59.000000000;2019-11-30 23:59:00.000000000;446.0;3
2019-11-01 13:56:02.000000000;2019-12-31 23:59:00.000000000;1.0;N
2019-11-01 13:55:58.000000000;2019-12-31 23:59:00.000000000;97.0;N
2019-11-01 13:56:13.000000000;2019-12-31 23:59:00.000000000;301.0;N
2019-09-23 07:07:59.000000000;2019-12-31 23:59:00.000000000;446.0;3
2019-11-01 13:56:02.000000000;2020-01-31 23:59:00.000000000;1.0;N
2019-11-01 13:55:58.000000000;2020-01-31 23:59:00.000000000;97.0;N
2019-11-01 13:56:13.000000000;2020-01-19 06:46:59.000000000;301.0;N
2019-09-23 07:07:59.000000000;2020-01-31 23:59:00.000000000;446.0;3
2019-11-01 13:56:02.000000000;2020-02-19 12:22:50.000000000;1.0;N
2019-11-01 13:55:58.000000000;2020-02-19 12:22:46.000000000;97.0;N
